region	XYcellid	X:X	Y:Y	celltypes	efact
reg1	503.5__1002	503.5	1002	Bcell	1
reg1	503.5__1351.5	503.5	1351.5	Bcell	1
reg1	504__565	504	565	Bcell	1
reg1	504__599.5	504	599.5	Bcell	1
reg1	504__1269.5	504	1269.5	Bcell	1
reg1	505__810.5	505	810.5	Bcell	1
reg1	505__1163.5	505	1163.5	Bcell	1
reg1	505.5__1402.5	505.5	1402.5	Bcell	1
reg1	506__1431	506	1431	Bcell	1
reg1	506.5__1082	506.5	1082	Bcell	1
reg1	507__1220	507	1220	Bcell	1
reg1	508__621.5	508	621.5	Bcell	1
reg1	508__849	508	849	Bcell	1
reg1	508.5__1054.5	508.5	1054.5	Bcell	1
reg1	509.5__931.5	509.5	931.5	Bcell	1
reg1	510__1147	510	1147	Bcell	1
reg1	510.5__1241	510.5	1241	Bcell	1
reg1	511__1202	511	1202	Bcell	1
reg1	514.5__1023	514.5	1023	Bcell	1
reg1	516.5__759	516.5	759	Bcell	1
reg1	516.5__1381.5	516.5	1381.5	Bcell	1
reg1	517.5__646	517.5	646	Bcell	1
reg1	518__727	518	727	Bcell	1
reg1	519.5__1184	519.5	1184	Bcell	1
reg1	520.5__610	520.5	610	Bcell	1
reg1	521__1285	521	1285	Bcell	1
reg1	521.5__676.5	521.5	676.5	Bcell	1
reg1	522__814.5	522	814.5	Bcell	1
reg1	522__1100.5	522	1100.5	Bcell	1
reg1	522.5__958	522.5	958	Bcell	1
reg1	523__1009	523	1009	Bcell	1
reg1	523__1348.5	523	1348.5	Bcell	1
reg1	523.5__1134.5	523.5	1134.5	Bcell	1
reg1	524__1231	524	1231	Bcell	1
reg1	524__1324	524	1324	Bcell	1
reg1	524.5__566.5	524.5	566.5	Bcell	1
reg1	524.5__802	524.5	802	Bcell	1
reg1	524.5__1117.5	524.5	1117.5	Bcell	1
reg1	525__591.5	525	591.5	Bcell	1
reg1	526.5__780	526.5	780	Bcell	1
reg1	526.5__890.5	526.5	890.5	Bcell	1
reg1	527.5__826	527.5	826	Bcell	1
