Spots	Groups	Patients	cell_left	cell_mid	cell_right	N_mid	N_tot	ratio_mean	quant	mean_rand	sd_rand	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
9	2	9	CD4T	CD8T	Tumor	193	2012	1.06732820981676	0	1.19920692416103	0.110688610140505	1.08538833388687	1.10207038204449	1.13586919542023	1.17799480602667	1.21351439387361	1.53494368440602	1.56790160217707
9	2	9	CD4T	Macrophage	Tumor	289	2012	1.17173837157619	48	1.1937831305792	0.076630085604933	1.10335580905042	1.12709808061622	1.15253164323827	1.17224561982204	1.20363511140308	1.38884445957137	1.47351954783248
9	2	9	CD4T	Stroma	Tumor	192	2012	1.54771127337157	93	1.20994532799195	0.125179258810956	1.04622281431361	1.0819660520873	1.14262473414958	1.18585713582593	1.23866861299308	1.56123327069625	1.63135153200968
9	2	9	CD4T	Treg	Tumor	325	2012	1.2285416245928	79	1.21022753228231	0.0981775732929828	1.08400632799403	1.11072188985087	1.15457063664135	1.17472337615764	1.21558574396986	1.4302902217502	1.45403104279178
9	2	9	CD4T	Tumor	Tumor	461	2012	1.14486264853921	12	1.21110154664838	0.077813506208589	1.10926160494981	1.12248952276728	1.16188361491901	1.18431820126384	1.2386842245841	1.36350446142759	1.39177465114542
9	2	9	CD8T	Bcell	Bcell	96	2012	1.86299237142289	71	1.77355463034893	0.120760475477623	1.45648959457936	1.5859871182998	1.683056815944	1.7804559178644	1.87220210232923	1.92009001164056	1.99777718775555
9	2	9	CD8T	CD4T	Bcell	456	2012	1.71471494608863	7	1.79506750110379	0.0526678569211102	1.66899596450023	1.70248787905965	1.76624304312186	1.79301622136398	1.82618262665714	1.88851995976614	1.91065917435037
9	2	9	CD8T	CD8T	Bcell	193	2012	1.61371791415204	2	1.7969571679498	0.0886765084533049	1.58738707751459	1.63444712634222	1.75273499110337	1.8000562853645	1.85035489282542	1.93308995543365	1.97353485646715
9	2	9	CD8T	Macrophage	Bcell	289	2012	1.72684926068972	13	1.79949067259194	0.0727185333968675	1.57386348035522	1.70263748990967	1.76078227485185	1.79478121062901	1.84797645307615	1.92117525236089	1.93300939920481
9	2	9	CD8T	Stroma	Bcell	192	2012	1.81181496889496	55	1.80042945090544	0.0795895303285193	1.63329893049516	1.66892614661362	1.75171722624309	1.7993142462965	1.85805872221141	1.92897086685383	1.99435511127033
9	2	9	CD8T	Treg	Bcell	325	2012	1.8441400739167	77	1.79141571771062	0.068416360680415	1.64709206355238	1.67954332491701	1.75469481169996	1.77735944208082	1.83418192724192	1.90195572384962	1.931732023154
9	2	9	CD8T	Tumor	Bcell	461	2012	1.94667830369116	100	1.79561942130627	0.049587596989019	1.69545885684452	1.71035774352498	1.76466943344721	1.79430239893173	1.83336471260439	1.87099455041255	1.88601250830627
9	2	9	CD8T	Bcell	CD4T	96	2012	0.952913626756402	74	0.911885654514598	0.0623763518605347	0.794065338387631	0.816085852030605	0.866260467934074	0.907282773956604	0.95512070898807	1.01859503539927	1.03466487002563
9	2	9	CD8T	CD4T	CD4T	456	2012	0.824544485595771	0	0.91654685767588	0.0301286550493419	0.853035912550164	0.866925284286673	0.895032343735415	0.913517169404047	0.932186028921601	0.961932888763591	0.992425025420008
9	2	9	CD8T	CD8T	CD4T	193	2012	0.956161602753428	84	0.910439669925164	0.0480996903333448	0.809107234620615	0.838924798828636	0.875310433102975	0.909444047337279	0.941596743253052	0.99628989253661	1.0127200359175
9	2	9	CD8T	Macrophage	CD4T	289	2012	0.954670679131046	81	0.9184153589631	0.036124217923238	0.845124092610823	0.863155299415183	0.894074040167975	0.913461292865809	0.94218417642118	0.977458376259835	1.00805574038057
9	2	9	CD8T	Stroma	CD4T	192	2012	0.976408403850973	88	0.924812134154973	0.0438096079061336	0.796586608119745	0.860088460508987	0.901303046725344	0.927731836135906	0.956466009350873	0.985505887710589	1.01191874949377
9	2	9	CD8T	Treg	CD4T	325	2012	0.900008424003682	26	0.918451378680504	0.0345465286389592	0.843299286383539	0.859231949111064	0.89528997820761	0.91869865291494	0.944902107144924	0.972231065485627	0.982930286997882
9	2	9	CD8T	Tumor	CD4T	461	2012	0.950078397088762	83	0.925220758424479	0.0256217856361866	0.878494759767085	0.887537020902498	0.906053646166522	0.923233519788063	0.93923377089035	0.969430624680622	0.995751284591019
9	2	9	CD8T	Bcell	Macrophage	96	2012	1.04694215727022	50	1.05138706431339	0.0722431876714086	0.921344446837812	0.931789599066065	1.00213887598394	1.04642257046852	1.10234758403076	1.16846317426125	1.19541157601559
9	2	9	CD8T	CD4T	Macrophage	456	2012	1.01237345907377	8	1.05032151683777	0.0328577184204742	0.970106228106699	1.00574534102545	1.02686629807375	1.05049511208569	1.07027037778965	1.10608130401429	1.12108850706091
9	2	9	CD8T	CD8T	Macrophage	193	2012	0.982034089694105	10	1.04834934106427	0.0533211142172264	0.948597139474717	0.964046293680811	1.01305507800711	1.04910671605825	1.08228271500923	1.13927408782763	1.1627440106612
9	2	9	CD8T	Macrophage	Macrophage	289	2012	1.08967355635796	82	1.05115087398143	0.0376943419715958	0.967467087903909	0.984518465115835	1.02987357853796	1.04930924978284	1.07763096997692	1.1101392915257	1.12586051510325
9	2	9	CD8T	Stroma	Macrophage	192	2012	0.982957318379631	6	1.04910556804512	0.0456751110725059	0.939932530571016	0.97667616870538	1.01602519371102	1.04844945603006	1.08382466355864	1.12801607161205	1.14750108490902
9	2	9	CD8T	Treg	Macrophage	325	2012	1.06050167034012	54	1.05738795780951	0.0374037999780453	0.979966003484775	1.00056461410559	1.03207788310457	1.05680755183245	1.08464613054741	1.11539524771023	1.13741079804777
9	2	9	CD8T	Tumor	Macrophage	461	2012	1.11876734568442	99	1.05291227795226	0.0306213119255704	0.99179939610543	1.00805839338925	1.03043207421592	1.05209921127311	1.0745717898533	1.10580293223098	1.11658183977541
9	2	9	CD8T	Bcell	Stroma	96	2012	1.21775647988306	33	1.26340819383496	0.0888748267022135	1.09622899113196	1.12619547571765	1.2057434728878	1.25855801935223	1.31555637257248	1.41809128922524	1.49648689046987
9	2	9	CD8T	CD4T	Stroma	456	2012	1.20316421269246	2	1.26795810143015	0.0347840230448291	1.18583307770426	1.21368513550899	1.24494388322501	1.26214529251215	1.29355759528489	1.33218385213046	1.34010219931069
9	2	9	CD8T	CD8T	Stroma	193	2012	1.16714473827018	8	1.26120943688612	0.055039400348354	1.14576920096173	1.16292536909784	1.22097909476726	1.26221368465177	1.29613748586816	1.34139148808757	1.37497905122769
9	2	9	CD8T	Macrophage	Stroma	289	2012	1.26364817450419	58	1.25782098696506	0.0494085220505038	1.15631813658166	1.18578837891394	1.21888468420574	1.25282357046737	1.29457906384135	1.34496527793657	1.37180243962278
9	2	9	CD8T	Stroma	Stroma	192	2012	1.29666449326848	82	1.25533087917431	0.0600959007351813	1.12793814577946	1.1624910035037	1.21850564833467	1.25439934792196	1.29197045160476	1.35408695461755	1.42594320777124
9	2	9	CD8T	Treg	Stroma	325	2012	1.28316438317378	66	1.26373287922257	0.0408519411963372	1.18442503067048	1.19074814160188	1.23938553230069	1.26660152333664	1.28831223728579	1.32984333066665	1.33512874688191
9	2	9	CD8T	Tumor	Stroma	461	2012	1.34935373020262	99	1.26572334655501	0.0351461192739515	1.19773054446728	1.21244990375823	1.24037405314351	1.26192994141295	1.28371979247501	1.33777247058006	1.34902170943695
9	2	9	CD8T	Bcell	Treg	96	2012	1.02454580746794	66	0.997376024065144	0.0705449994486592	0.869500429376654	0.900196917018282	0.95000352002351	0.996182534755904	1.0397570894231	1.11424761760895	1.16458795827112
9	2	9	CD8T	CD4T	Treg	456	2012	0.919277619527283	0	1.00073881437578	0.0268442574010214	0.945916441769153	0.954324371254939	0.984715136854702	0.999682899705222	1.01868704356408	1.03725436104866	1.06935436983079
9	2	9	CD8T	CD8T	Treg	193	2012	0.906662667810323	3	0.999696040418261	0.0469557757390449	0.890468495855066	0.91916180890528	0.971555748362477	0.998730637102232	1.03271653573063	1.0742625172637	1.08696256886941
9	2	9	CD8T	Macrophage	Treg	289	2012	0.974026956874061	25	0.996993578680606	0.0315361942362431	0.935884678427613	0.945647304184506	0.97567281254847	0.998448739116177	1.01938260753285	1.05364511116319	1.06352350821484
9	2	9	CD8T	Stroma	Treg	192	2012	0.981508565357945	31	1.00284330955021	0.0467055237645545	0.89865356525329	0.919512082894226	0.976144425065947	1.0088846627346	1.03500177740248	1.07576789502082	1.10219589049436
9	2	9	CD8T	Treg	Treg	325	2012	1.03483689930571	90	0.994042751336052	0.0305128138483894	0.940944161998736	0.952768807760182	0.97137139017591	0.98853640491636	1.01466110546444	1.04832820000517	1.07058369209065
9	2	9	CD8T	Tumor	Treg	461	2012	1.09433903759201	100	0.997346436484397	0.0255065536690633	0.95081401300782	0.956444902637832	0.979099326619155	0.996285530096914	1.0119436426529	1.04655571857282	1.05598394546719
9	2	9	CD8T	Bcell	Tumor	96	2012	0.94199949589368	84	0.884204882525058	0.0608455067289967	0.732233450040177	0.800256808603802	0.846353760537326	0.881628604430158	0.920722336689131	1.00285645662009	1.02664020539703
9	2	9	CD8T	CD4T	Tumor	456	2012	0.836270889592822	1	0.883275429274903	0.0229054202632916	0.837406607752644	0.846023147392246	0.867128714109778	0.88121396030259	0.899245971539	0.922292218175901	0.929465546977005
9	2	9	CD8T	CD8T	Tumor	193	2012	0.801467361595406	1	0.877575428253949	0.039188706900968	0.80695435688104	0.818943346555611	0.846322262650021	0.878378453156774	0.90292751010633	0.946012239998324	0.957413099571146
9	2	9	CD8T	Macrophage	Tumor	289	2012	0.897266000425279	62	0.884837682094399	0.0330020171145453	0.821216727913648	0.834092990138829	0.85932626503219	0.884741717488611	0.914161758457803	0.939649893181772	0.944453877946946
9	2	9	CD8T	Stroma	Tumor	192	2012	0.909873387169873	81	0.878544008437874	0.038792469593114	0.796084850228874	0.818161293987784	0.850781371250582	0.880764683712188	0.902709119052963	0.940987085095667	0.95197260265829
9	2	9	CD8T	Treg	Tumor	325	2012	0.928830062900553	94	0.890055865588183	0.0267346866267994	0.845274271687158	0.849930814989125	0.869444625982442	0.889489051751709	0.910682193803236	0.929136041194089	0.953253138888569
9	2	9	CD8T	Tumor	Tumor	461	2012	0.906130149768969	78	0.888882567322073	0.0211688427291551	0.835940457894545	0.857631307950405	0.875198634645586	0.889850074351115	0.901803969396861	0.925512825610648	0.930954247319978
9	2	9	Macrophage	Bcell	Bcell	96	2012	2.20816759198029	95	2.02664833377245	0.128122805782056	1.76743800974098	1.81633167982231	1.93786128466602	2.04200033877611	2.1077353155019	2.20867115815418	2.29012067149078
9	2	9	Macrophage	CD4T	Bcell	456	2012	2.00756607904689	40	2.0188357666133	0.0490871235096434	1.92132658799896	1.945568123983	1.98348799014648	2.0203929514668	2.05276828487233	2.08707161046906	2.14001211363142
9	2	9	Macrophage	CD8T	Bcell	193	2012	2.00947290095192	44	2.02199812291755	0.0924883651301374	1.80681620549481	1.88422842428754	1.96394261297385	2.02554736457214	2.08210334525538	2.18612782482077	2.20139404482264
9	2	9	Macrophage	Macrophage	Bcell	289	2012	1.85222838305788	0	2.02602836491045	0.0689737226589277	1.85898863869883	1.92790186759505	1.97408348934599	2.02135237842665	2.06787990424615	2.13983290189196	2.19280783941242
9	2	9	Macrophage	Stroma	Bcell	192	2012	2.09563233607411	83	2.01093004220337	0.0842660638282176	1.82498348349527	1.86768749794627	1.95752936628124	2.01027677596517	2.07040105433709	2.15329637190886	2.19240430569794
9	2	9	Macrophage	Treg	Bcell	325	2012	2.07389012303287	75	2.02146451072524	0.0727794849538294	1.87656619255626	1.88619818115275	1.97380998334376	2.0218406604212	2.07234531060466	2.12789784324435	2.15390060142039
9	2	9	Macrophage	Tumor	Bcell	461	2012	2.04103741877569	64	2.02509027833613	0.0546454776220876	1.92902545959302	1.94101371382029	1.99280702886645	2.01658244166779	2.06154937075486	2.11401591383861	2.16752193527402
9	2	9	Macrophage	Bcell	CD4T	96	2012	1.14269150906162	93	1.04333731041289	0.0663961363192221	0.912055200612779	0.924044309683257	0.999862170543773	1.04755287245804	1.0867233829195	1.14802994542668	1.16996623806278
9	2	9	Macrophage	CD4T	CD4T	456	2012	0.963469933689213	0	1.03799662124708	0.0290005036298785	0.983918697834864	0.996519097072208	1.01613343193298	1.03638216871743	1.05855239630893	1.08121958967497	1.10187813690279
9	2	9	Macrophage	CD8T	CD4T	193	2012	1.16288318762138	99	1.04777293317866	0.0454851863246937	0.935808402389452	0.988137944184867	1.01472038301865	1.04407053492503	1.07839949305135	1.12188887916196	1.15436138309957
9	2	9	Macrophage	Macrophage	CD4T	289	2012	0.993501942169859	10	1.0408354117548	0.0363599941667654	0.9730639906984	0.985883992927559	1.0150474220435	1.04111405413551	1.05989031557523	1.10875750903939	1.12084619336198
9	2	9	Macrophage	Stroma	CD4T	192	2012	1.16640299298679	98	1.04188567467394	0.0522915090796134	0.955173926592731	0.970362753163466	1.00477836538574	1.03589654096337	1.07165555477906	1.13054041699036	1.19778330281779
9	2	9	Macrophage	Treg	CD4T	325	2012	1.04017043146892	43	1.04744060335839	0.0377139324290941	0.973606169089375	0.989884863542735	1.02080781985174	1.0466452622352	1.07185686833372	1.10911800541398	1.14614594637216
9	2	9	Macrophage	Tumor	CD4T	461	2012	1.02807972560749	30	1.04446750043318	0.0275655728516076	0.991595554610822	1.0046455593032	1.02441770973523	1.04332776058149	1.06684461822019	1.0882792899649	1.10273240451341
9	2	9	Macrophage	Bcell	CD8T	96	2012	1.46187964160856	82	1.39161864371698	0.076576151797112	1.24812607430953	1.27692924890428	1.33620487000939	1.3906176732997	1.43319895546979	1.54554445892119	1.57517622755497
9	2	9	Macrophage	CD4T	CD8T	456	2012	1.44776265873878	93	1.3913162333663	0.0412727705570859	1.28889042990335	1.3313238926248	1.3627688685141	1.38888398390509	1.41639484374854	1.45157506631488	1.49334749165566
9	2	9	Macrophage	CD8T	CD8T	193	2012	1.49670008795486	99	1.38522457099596	0.051738806638917	1.28432793285401	1.30318843564182	1.34494779584841	1.38774864645751	1.42530892297563	1.46583364219487	1.48741399993217
9	2	9	Macrophage	Macrophage	CD8T	289	2012	1.30585885063185	7	1.38549426720835	0.0516480079435514	1.26874355496089	1.28737236651737	1.35681179674769	1.38917725844883	1.41751064581624	1.46180200648147	1.52040721846902
9	2	9	Macrophage	Stroma	CD8T	192	2012	1.49342825845681	94	1.39833416263532	0.05651419943032	1.27839559820759	1.29352746030004	1.35798264344257	1.40170237794665	1.44010956981486	1.4948952196771	1.50145731106055
9	2	9	Macrophage	Treg	CD8T	325	2012	1.35452713554285	23	1.38245269772472	0.0430710178815491	1.29251746319422	1.31218234488395	1.35725125090734	1.38401297213079	1.40875324046245	1.45643941449837	1.48032833186133
