ClusterName	cell2type	Spots	Patients	Groups	N_ct1	N_all	quant	zscore	mean_ct1	d_mean	d_sd	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
CD4T	CD8T	1	1	1	229	2327	0	-3.9978161837913	14.5813185526167	18.9962586476934	1.10433794154333	16.5449159854913	17.2296183600098	18.2213798444775	18.9554684320207	19.7167588456608	20.8837402611915	21.5978534215722
CD4T	CD8T	2	2	1	285	1859	1	-3.32578937924455	13.9481246424287	15.4550721980947	0.453109738418955	14.4623788089935	14.739136425271	15.1658686567203	15.4352043554266	15.7321465716301	16.2214420312776	16.6880360385975
CD4T	CD8T	3	3	2	142	1106	858	1.10215797858971	17.7281815839652	16.3317531834773	1.26699477535403	13.826041582409	14.4605041143854	15.4168072794736	16.2098913580042	17.0931803799219	18.6429797873232	19.6883678634724
CD4T	CD8T	4	4	1	190	1203	269	-0.658534429134549	14.3978409032818	14.8131327747267	0.630630462238159	13.505327578694	13.8045204731817	14.3726395757982	14.8080346839456	15.2426112728661	15.90290493048	16.2778905681683
CD4T	CD8T	5	5	1	270	1410	43	-1.62594382080145	16.1635854759271	17.0012908973571	0.515211786971273	15.825176116987	16.2035557100048	16.6543710774819	17.0012258307702	17.336009311626	17.8827312730885	18.182860218838
CD4T	CD8T	6	6	2	101	1773	0	-6.33673183652812	22.3638657686915	35.2975727949378	2.04106901789498	30.8635046708236	32.0749630825392	33.9360748467883	35.263816678085	36.7140010655148	38.7615760777424	39.9876638245342
CD4T	CD8T	7	7	1	82	1712	2	-3.29234132175744	24.3308447774066	29.9943046771145	1.72019221162791	26.2017205887674	27.2825834653905	28.8325411042338	29.9607460631007	31.1576106245366	32.868465957388	34.0471976688704
CD4T	CD8T	8	8	2	349	1906	972	2.07874547037221	15.3355797326758	14.3931609025081	0.453359414896963	13.4028471804795	13.6667152931887	14.0906408952395	14.3809936389893	14.6852354266072	15.168240820765	15.5106014584089
CD4T	CD8T	9	9	2	456	2012	999	3.45276646687186	17.1019970314674	15.8753622017922	0.35526145235836	15.0639784393892	15.290961123283	15.6398382039116	15.8677852931629	16.1010773197764	16.4900483875595	16.7014286993922
CD4T	CD8T	10	10	2	443	2202	866	1.05630751457285	13.9239013737135	13.533316050461	0.36976478711364	12.7806281203737	12.9710103548385	13.2806069221583	13.5150501429487	13.7752923733421	14.1587079881748	14.4774560612064
CD8T	CD8T	1	1	1	367	2327	0	-8.46488179390407	11.7942268837992	19.798073129868	0.945535500783096	17.7584248186881	18.2662511197995	19.1489573720703	19.7784094242854	20.4112538545558	21.4146705486639	22.0508020637488
CD8T	CD8T	2	2	1	339	1859	0	-7.15651285172825	12.699272186855	15.7839468780045	0.431030413143822	14.8181009157307	15.0849622983672	15.4950535823417	15.763901768949	16.0517356742543	16.4891945062331	16.8219592891835
CD8T	CD8T	3	3	2	121	1106	736	0.59887735050707	17.1156256545167	16.3436499204265	1.28903812013691	13.9873027241333	14.5010064119967	15.4060105280209	16.178413845379	17.1861119015752	18.6076389185007	19.6202693529774
CD8T	CD8T	4	4	1	183	1203	478	-0.0743527778675296	14.6765999994825	14.719494526852	0.576905511801229	13.5036440152638	13.8070681843097	14.3200137825268	14.7084637462568	15.1208361025825	15.6415735935326	16.2021737775267
CD8T	CD8T	5	5	1	195	1410	962	1.89852989194575	17.7808664511214	16.6524258276889	0.594376010733248	15.3276865404924	15.6968079351232	16.2632773090893	16.6254728067437	17.03399013344	17.651793250846	18.1347505789744
CD8T	CD8T	6	6	2	90	1773	0	-5.35804399030169	23.3318583820006	35.0269807524266	2.18272235009543	30.5361704946453	31.6192115410481	33.4840940567347	35.0154406127153	36.4722828492408	38.5239866982849	40.2542341196519
CD8T	CD8T	7	7	1	73	1712	135	-1.10653097761062	27.7289694698593	29.8113390789214	1.88189002494865	25.5374296873964	26.8209430037687	28.559893967498	29.8204162328553	31.0493541468074	32.9647549311466	34.4799313643849
CD8T	CD8T	8	8	2	282	1906	132	-1.12616329214807	14.1105889947569	14.6151627162808	0.448046677637221	13.5877856235996	13.857446424931	14.3335421783241	14.6058570473733	14.9165495461419	15.3626359608807	15.6145614334234
CD8T	CD8T	9	9	2	193	2012	1000	2.99479044833225	17.6085757582015	15.9909243530077	0.540155123739844	14.7893507794735	15.0965286626231	15.6231046537635	15.9786311949655	16.3486156782773	16.9083363891278	17.2487133825041
CD8T	CD8T	10	10	2	325	2202	438	-0.212434702838831	13.5166331163402	13.6148718743159	0.462442137102973	12.643795039029	12.881532082289	13.2889647536774	13.5808052552084	13.912956733754	14.4054256630981	14.7292781113174
Macrophage	CD8T	1	1	1	264	2327	1000	22.2344443146475	34.0175339418986	16.577389924098	0.784375079088952	14.9488180006747	15.3230665247963	16.0563939420939	16.5231350194419	17.1302605560557	17.8825498986351	18.3605354114018
Macrophage	CD8T	2	2	1	225	1859	701	0.504894854476631	15.4354880716134	15.1652370962612	0.535261892562434	13.8311762030029	14.2889491201791	14.8209169025817	15.1604388134737	15.5175860942005	16.0247912090649	16.4315957635608
Macrophage	CD8T	3	3	2	122	1106	695	0.408954984673263	17.0247011403026	16.4806798250223	1.33027187751472	14.1500077478097	14.5972730623097	15.4818776487453	16.3469577029752	17.3205810845088	18.8544659961321	20.2196423782348
Macrophage	CD8T	4	4	1	122	1203	857	1.06401762991722	15.4022406456277	14.6331613983201	0.722806864927109	13.0719085709281	13.5238761845533	14.1388615492788	14.6055289256997	15.1144996995562	15.8748003306846	16.4289041100982
Macrophage	CD8T	5	5	1	130	1410	69	-1.45757473396116	15.8455207662359	16.9042635781188	0.72637291743229	15.2950692882548	15.7726558937813	16.407747018129	16.8728057562948	17.3573752275662	18.1316509850142	18.6595420958584
Macrophage	CD8T	6	6	2	55	1773	332	-0.423284856345819	33.4301109458127	34.618248178906	2.80694481572156	27.7664911319594	29.8930745723193	32.7652371130295	34.6472821420167	36.4937195564758	39.0736124405466	41.0916226639995
Macrophage	CD8T	7	7	1	73	1712	5	-2.52570071808011	25.2829861004953	30.0103920456989	1.87172055317666	25.9907812813436	26.8644195316682	28.7453877536549	30.0939885217921	31.3170593852937	32.9401204433505	34.3442256417672
Macrophage	CD8T	8	8	2	281	1906	152	-1.04724890769021	14.1409776657404	14.6502419328829	0.486287704291584	13.6737610060201	13.8730140104434	14.2956769446747	14.6352904423996	14.9724902461279	15.4844392346495	15.8337029798076
Macrophage	CD8T	9	9	2	289	2012	223	-0.766640520571437	15.8726466398244	16.2140797426305	0.445362713872126	15.0971851297923	15.4955470341059	15.9142760254217	16.2287263930725	16.4980204379477	16.9392521278032	17.1890758313866
Macrophage	CD8T	10	10	2	325	2202	276	-0.652266871810903	13.3545952834546	13.6577133138122	0.464714740940368	12.6969836364768	12.9317987286859	13.3203106716845	13.6500334897648	13.9724549684203	14.4672492224293	14.7875413901939
Stroma	CD8T	1	1	1	197	2327	531	0.0630732537296187	18.6056311607438	18.5286934466268	1.21981520799244	15.7877592755997	16.5792012597163	17.6850105352591	18.4988902897972	19.3846999013607	20.6134927594004	21.5392834524838
Stroma	CD8T	2	2	1	249	1859	784	0.734039416377907	15.5373462494948	15.1573142273797	0.517726996174673	13.8930562884302	14.3060587936502	14.8098411901012	15.1392365613547	15.4879686095455	16.0060599866604	16.433976703381
Stroma	CD8T	3	3	2	122	1106	452	-0.214206476558324	16.2266277029317	16.501391783487	1.28270669015205	14.1039033684431	14.5571300577717	15.620354374438	16.3481559785595	17.2456018592076	18.8166187786793	20.1186736661273
Stroma	CD8T	4	4	1	122	1203	899	1.29437325234327	15.5426836731987	14.5970470375025	0.730574920320898	13.0851252409875	13.4236475224587	14.0640783908703	14.5657863239144	15.0918824574629	15.8465867954099	16.3702759374791
Stroma	CD8T	5	5	1	130	1410	174	-0.944161982798849	16.2016874821956	16.8764521542642	0.714670453123241	15.3334701976953	15.7363570764674	16.3769837056982	16.8651734576627	17.3368929904819	18.1070767458097	18.5542921900615
Stroma	CD8T	6	6	2	91	1773	0	-4.05844019769692	26.2346123719739	35.0242076721897	2.16575700812437	30.1521528286863	31.6996734074461	33.4004032002431	34.9856026852724	36.4182696050305	38.5778363117875	40.077578191505
Stroma	CD8T	7	7	1	49	1712	9	-2.27506201489515	24.7810191319161	29.9325268571788	2.26433727587867	24.9495444248147	26.452903921002	28.346347910167	29.9125137533828	31.459137578729	33.6081769018886	35.6634760700358
Stroma	CD8T	8	8	2	140	1906	167	-0.927705835339115	13.9130540641494	14.5788601299329	0.717690932212482	12.9394219294794	13.3933409350051	14.1055375881056	14.5698358971426	15.0135270482472	15.74034873887	16.4641416687262
Stroma	CD8T	9	9	2	192	2012	62	-1.54970076079856	15.3869742110396	16.2389085274173	0.549741174508237	15.0535458606367	15.3416784393427	15.8374798096166	16.2399763582211	16.6155272406543	17.153363290868	17.4982724016199
Stroma	CD8T	10	10	2	326	2202	684	0.380827044064628	13.7283624235101	13.5719038155842	0.410839015674895	12.7316013090465	12.9562959554037	13.2808352761637	13.5399131804234	13.8214289661263	14.2670982887633	14.6575157727075
Treg	CD8T	1	1	1	303	2327	999	3.7702953185213	21.7063417503193	18.0507487150703	0.969577374295086	15.8293863370164	16.5488551596677	17.4152666199565	18.0388331917371	18.6593208537548	19.6714354907417	20.2687859586071
Treg	CD8T	2	2	1	131	1859	1000	5.66469929983222	18.749858800304	14.9573955987355	0.669490647399553	13.4649619141753	13.9285947764717	14.4842153332922	14.9292653325738	15.4011409973189	16.0762428323221	16.5819982982848
Treg	CD8T	3	3	2	167	1106	368	-0.361182063447696	16.1270893799912	16.5125901047617	1.06733075582621	14.4199820377386	14.8818111803208	15.746745631576	16.4641208038425	17.1621577364922	18.3817190162516	19.3567814283283
Treg	CD8T	4	4	1	158	1203	615	0.274201559561649	14.8635662440995	14.6839572635555	0.655025379254576	13.2801016094422	13.6475713955836	14.2476338814872	14.6565007882225	15.1119038927863	15.8253628485638	16.340668141762
Treg	CD8T	5	5	1	146	1410	493	0.0184905007161691	16.806377893096	16.7941471818393	0.661459170008513	15.3005995356839	15.7039820075947	16.3393683486391	16.8102880088756	17.2540732860463	17.9044300071601	18.2177803953503
Treg	CD8T	6	6	2	106	1773	0	-5.57547876600706	23.8929162936894	35.2312030953633	2.03359877734659	30.6517037592955	31.8369943753684	33.9557138542995	35.1874634835649	36.6111404611701	38.553292954094	40.0583336499395
Treg	CD8T	7	7	1	35	1712	284	-0.625680337227449	28.2057293858003	29.8601209385034	2.64414822436996	24.2332951654735	25.7702056695405	27.8995697249768	29.8442351400423	31.594944042248	34.3760699151536	36.4231779746079
Treg	CD8T	8	8	2	164	1906	574	0.127437360510405	14.6283800980128	14.5454900084717	0.650437903053562	13.2550113234938	13.5189938289774	14.0877034798957	14.5194521953989	14.9745752623443	15.6606080565564	16.1941731806043
Treg	CD8T	9	9	2	325	2012	49	-1.57028590669661	15.56266046663	16.2573195600242	0.442377461602247	15.3092022354628	15.5678541391393	15.9426554551542	16.2553122336585	16.5668569791001	16.9825054315521	17.4101710716381
Treg	CD8T	10	10	2	238	2202	847	1.01634010538031	14.0532907683527	13.5270788914342	0.517751758621778	12.5193171033493	12.7395863878384	13.1690203709982	13.4712810117695	13.8469661108191	14.3940732218632	15.002633802811
Tumor	CD8T	1	1	1	748	2327	0	-8.31149228891973	14.5519403153871	20.4105227134723	0.704877318588797	18.9059245064632	19.2576916597862	19.9546998860939	20.3652966473453	20.857719389228	21.6443429306389	22.1391496510311
Tumor	CD8T	2	2	1	476	1859	1000	5.90233808415261	16.7581921471799	14.692129582563	0.350041379392368	13.8864114631049	14.1139706075304	14.4503165436538	14.6951884114582	14.9361250080085	15.2742246462528	15.4829430417226
Tumor	CD8T	3	3	2	311	1106	405	-0.244145309930332	16.2907717148187	16.4954487906969	0.838341215469476	14.7623492398022	15.1384222938357	15.9191679062851	16.4826624776235	17.0305415450231	17.872628056676	18.5680493452549
Tumor	CD8T	4	4	1	367	1203	136	-1.06881298784681	14.4025826130875	14.8830647545611	0.44954743901604	13.9535314478273	14.1577862015363	14.5643263345664	14.8620999024473	15.1707481312875	15.6569607895837	16.0369061269269
Tumor	CD8T	5	5	1	409	1410	998	3.12155829902884	17.7105594375286	16.4431132007523	0.40602997457093	15.4582789523013	15.7443038376565	16.177258810328	16.452621098873	16.723485428426	17.079034285135	17.3566937831996
Tumor	CD8T	6	6	2	1235	1773	1000	28.036571955775	38.6054155270901	25.1889426406363	0.478534712004627	24.1243763707994	24.4098997891931	24.8586424029676	25.1945164420856	25.5336352581987	25.9758219305823	26.2632379263883
Tumor	CD8T	7	7	1	1376	1712	1000	11.6192911343069	30.8274523947114	25.4555919672669	0.462322560417098	24.3856003994164	24.6611369010444	25.1700654115352	25.4662850451167	25.7726177323648	26.1751396805385	26.4819139528324
Tumor	CD8T	8	8	2	549	1906	869	1.04709111769505	14.8405038316477	14.4604019049365	0.363007497903179	13.6408096473053	13.8721621385852	14.2041732752645	14.4588169119999	14.6932779841748	15.0557478740599	15.3914990934609
Tumor	CD8T	9	9	2	461	2012	31	-1.93117488697677	15.6366934803672	16.3117364720822	0.349550419419404	15.4982383681756	15.7407878853846	16.0816755925979	16.3081275397189	16.5378961125459	16.8915386823807	17.1436128417553
Tumor	CD8T	10	10	2	383	2202	472	-0.152048823587189	13.5587112754269	13.6205773681661	0.40688307400002	12.776823966982	13.0115676038174	13.3443700429004	13.5880624746624	13.8974053293992	14.3092995191564	14.6791826895135
Bcell	Macrophage	1	1	1	219	2327	1000	4.88290064196802	22.0217600131822	18.6131655929464	0.698067536115565	17.0397730569094	17.5237002950526	18.1458493458402	18.5978069545731	19.0621488159425	19.7910707891731	20.3340418753333
Bcell	Macrophage	2	2	1	154	1859	0	-3.44686735226401	15.2153387430715	17.9133178740059	0.782733669504964	16.1397967519075	16.6674880614359	17.3836426312779	17.8638382153049	18.3969890662514	19.2811624805593	19.8106713369289
Bcell	Macrophage	3	3	2	121	1106	280	-0.634184441862435	16.3926462623851	17.1510989628412	1.19594971177273	14.6947440661136	15.3901655531588	16.2784892287114	17.0708412537632	17.8912506564978	19.2495987523034	20.3305828350223
Bcell	Macrophage	4	4	1	61	1203	948	1.74833971910704	19.9260274489613	17.7507607873915	1.24418992361558	14.9619591273285	15.8773795942608	16.9284381738058	17.6664998487038	18.5274542935153	19.9403925683684	20.9794934682609
Bcell	Macrophage	5	5	1	130	1410	479	-0.0368631095649246	19.336354352999	19.3660345457249	0.805146203783922	17.5407316683696	18.0066837548	18.8368532492262	19.3598213722147	19.9137950774251	20.682577544357	21.2016630946632
Bcell	Macrophage	6	6	2	95	1773	8	-2.26758812268809	34.8885363911762	40.3499071001947	2.40844915986968	35.0163612915959	36.4195837243717	38.6446528172925	40.3094663584503	41.9893696765647	44.2210810543475	45.8283708988641
Bcell	Macrophage	7	7	1	24	1712	1	-2.74536194127942	22.8275165120201	33.6925195389308	3.95758492297276	24.895561235337	27.0566207308502	31.0098275681769	33.7978544410968	36.396553035182	40.1730277004464	43.4967525192837
Bcell	Macrophage	8	8	2	141	1906	396	-0.272447637772882	14.4173159358329	14.6055510587349	0.690903853822162	13.1366997940998	13.5664513966495	14.1234913242955	14.5702694051212	15.0136595234174	15.8061697366548	16.3981522770548
Bcell	Macrophage	9	9	2	96	2012	341	-0.412403848993508	13.7104226241063	14.0050456660308	0.714404200260221	12.5172934603782	12.9056692908454	13.5010223776948	13.9652998194422	14.453911411586	15.2110723662339	15.7938188311078
Bcell	Macrophage	10	10	2	162	2202	85	-1.29701628517323	12.9893909586027	13.819021994722	0.639645812934849	12.4931492297437	12.8350705935277	13.3767906147374	13.7761263266751	14.2550569790558	14.9141159248245	15.4410972784742
CD4T	Macrophage	1	1	1	229	2327	575	0.151307654225446	19.0314730345268	18.9260318646477	0.696866066814992	17.3508794210378	17.8114824508606	18.450860825258	18.9135379029593	19.3874370966186	20.0701083539202	20.6768472205184
CD4T	Macrophage	2	2	1	285	1859	185	-0.928157061279921	17.2271489645263	17.7658940836055	0.580446070556457	16.5358849799782	16.8389272068664	17.3554740905692	17.784605157872	18.1647465426752	18.7680966226547	19.1159907551425
CD4T	Macrophage	3	3	2	142	1106	456	-0.141922288367424	16.8845177482915	17.0359779035794	1.0672048557715	14.8088115134537	15.3952505461	16.2701029166283	16.9996309598311	17.7254013094776	18.8277274176846	19.7219762119094
CD4T	Macrophage	4	4	1	190	1203	13	-2.14626878558215	16.4968936428365	18.1156360338009	0.75421233437235	16.4239264532732	16.9379088823014	17.6184199025418	18.0766019057817	18.6188785953948	19.3909783712179	19.9772205082169
CD4T	Macrophage	5	5	1	270	1410	289	-0.58451636573612	19.0940394461523	19.424205550262	0.564853481380238	18.1344870793558	18.5383940218664	19.0222171000805	19.4088450955278	19.7826313186649	20.374527363407	20.7526851863543
CD4T	Macrophage	6	6	2	101	1773	0	-5.2761490230836	28.3174610391545	40.7534054098854	2.35701158483633	35.3615099214648	36.9365778959177	39.1941844890265	40.7770461675619	42.3005902852369	44.6739002371205	45.9437463236693
CD4T	Macrophage	7	7	1	82	1712	6	-2.63879099872619	27.6954046254339	33.7623585117534	2.29914149671127	28.1076856009982	30.0298291654765	32.3026323736118	33.7634371924291	35.1943489566396	37.7769065024136	38.9123876787491
CD4T	Macrophage	8	8	2	349	1906	984	2.26983092431198	15.4272420814306	14.4178788273594	0.444686537336292	13.4591109865305	13.7207195978993	14.1212186913134	14.3904339229044	14.707348770653	15.1748302307774	15.5049992058288
CD4T	Macrophage	9	9	2	456	2012	883	1.20886293412246	14.3268451725094	13.9194180875264	0.337033317411376	13.1467329615167	13.3818298256666	13.6794226144113	13.9144275084258	14.1470801024206	14.449263025501	14.6984312671663
CD4T	Macrophage	10	10	2	443	2202	194	-0.876989580254844	13.5451497132741	13.8743751473394	0.375404042964337	13.0700990114933	13.2907189701871	13.6059426531399	13.8550597109618	14.1381490481017	14.5013643855642	14.7690367874078
CD8T	Macrophage	1	1	1	367	2327	841	0.973016491112684	19.3406397903988	18.8482400847886	0.506054840907313	17.6663784404707	18.009232957283	18.5306793954019	18.862671899668	19.1820934775706	19.6302634160403	19.9618335139912
CD8T	Macrophage	2	2	1	339	1859	957	1.68099125725697	18.4232630565355	17.5138708146269	0.540985705893906	16.3771377333305	16.5724789256774	17.1224261988717	17.5226191668837	17.8920694015975	18.3894474676758	18.7047188711389
CD8T	Macrophage	3	3	2	121	1106	393	-0.302452319761362	16.7173994646328	17.0552477810779	1.11703000562765	14.6922169956083	15.3719487237632	16.2887914239174	16.9896306395761	17.6939744603007	19.0355207166886	20.0690830747472
CD8T	Macrophage	4	4	1	183	1203	931	1.45270005243022	18.7434735624675	17.6754760786333	0.735181004535336	16.0885461136205	16.5180680496339	17.1911292034095	17.6583885698754	18.1427610506151	18.887308232915	19.5167813071674
CD8T	Macrophage	5	5	1	195	1410	198	-0.831871628459733	18.887416238454	19.4271832693972	0.64885856480358	17.8788277610298	18.3681734691954	18.9882430895322	19.4519869323165	19.8696478794949	20.4881242741764	20.8792582284331
