ClusterName	cell2type	Groups	N_ct1	N_all	quant	zscore	mean_ct1	d_mean	d_sd	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
Bcell	CD8T	2	615	8999	0	-5.2670068633834	15.8635528010726	19.0764757307558	0.610009254405899	17.7363658048365	18.1081370462249	18.6642200492628	19.0402112217311	19.4604805346583	20.1590981266741	20.5174896762224
CD4T	CD8T	1	1056	8511	0	-9.62287902772109	15.5390384408263	19.7628040123063	0.438929509485921	18.7347014721777	19.0656051061409	19.4751820744842	19.7454244524077	20.0580943434241	20.5146837547817	20.7774412865195
CD4T	CD8T	2	1491	8999	0	-8.40267183829273	16.1603410524272	19.3876083766862	0.384076325526801	18.5684720241947	18.7777616958608	19.126673669153	19.3744726384528	19.6437515116044	20.0077321293131	20.2826083374764
CD8T	CD8T	1	1157	8511	0	-12.8122226613853	14.5296768080137	19.9875192800575	0.425987169930565	19.0469381067401	19.3300665714825	19.6873328920292	19.9907744475423	20.2620802108402	20.6828076767999	21.0557100277369
CD8T	CD8T	2	1011	8999	0	-7.03765977127508	15.7679574077562	19.2577457908259	0.495873414812358	18.1618326867831	18.4644227896548	18.8845508040677	19.2557664316802	19.5799680887251	20.1166667728231	20.4897281680277
Macrophage	CD8T	1	814	8511	1000	7.57685675761179	22.4057282806974	18.9417341087733	0.457180897401039	17.9014847460381	18.1566348632174	18.6619434989452	18.9348157573755	19.2306326440805	19.6927981082507	20.0520463905474
Macrophage	CD8T	2	1072	8999	0	-7.67670320955831	15.6872413351135	19.2676899295584	0.466404457317934	18.1936465720446	18.4761250060662	18.9660094968383	19.2408249686632	19.592245391505	20.0038219158255	20.3882755308563
Stroma	CD8T	1	747	8511	0	-4.70802412406276	17.0693511018344	19.459430887866	0.507660904670372	18.3788335675831	18.6242904253779	19.0959550880874	19.4627525428689	19.8141559550898	20.3136332974315	20.7169322415141
Stroma	CD8T	2	871	8999	0	-6.94130733202369	15.7802193721838	19.1987326941058	0.492488397128117	18.1442106870678	18.3929337833095	18.8734395535269	19.186225622747	19.5188896989675	20.0294412762301	20.4157313750209
Treg	CD8T	1	773	8511	433	-0.160854932000417	19.1754569477999	19.2522157340108	0.477192618568683	18.1818316321657	18.4693732346691	18.9248096473671	19.2486250908937	19.5735234417708	20.0157185907425	20.3154165011202
Treg	CD8T	2	1000	8999	0	-6.82218637124141	16.0274752441864	19.2263301537891	0.468889991497055	18.1434883286522	18.4607839765107	18.920214658955	19.2068924684172	19.5453334491863	19.9880594322141	20.3448063822624
Tumor	CD8T	1	3376	8511	1000	18.9884541594385	21.8630604093727	17.5248505460593	0.228465667973139	16.9500715553969	17.1720387805771	17.370991667831	17.5199754953042	17.6758240781124	17.912836905999	18.0698064685836
Tumor	CD8T	2	2939	8999	1000	44.8781203919366	24.9380935337793	15.8970330685051	0.201458091076795	15.4257748912233	15.5685897569368	15.7563984802031	15.8949623642792	16.0286346285205	16.2302366426015	16.3475496637969
Bcell	Macrophage	1	588	8511	0	-3.78222066391015	19.4608873229335	21.6937593160344	0.590360053395864	20.3182652008252	20.7044801340098	21.3266205507817	21.6678310465137	22.0973605776733	22.665420479922	23.0413345941826
Bcell	Macrophage	2	615	8999	0	-3.28616628691726	17.4816985513343	19.7321792244584	0.684834690832152	18.2809290473076	18.6627299656647	19.2629713344443	19.686587404308	20.2043533726348	20.9019732969208	21.3512646106357
CD4T	Macrophage	1	1056	8511	0	-7.29938581550027	18.7772428046234	21.9155668292997	0.429943573884276	20.9126266422806	21.2407931186759	21.6135570744091	21.9069397378387	22.2059445273468	22.6366836233647	22.9471203894815
CD4T	Macrophage	2	1491	8999	0	-10.4909514898121	15.5434710216472	20.3825436104554	0.46126155416003	19.3812358393308	19.6307062066439	20.0676494394222	20.3768676930281	20.7070205940657	21.1532815990338	21.4230154543387
CD8T	Macrophage	1	1157	8511	0	-6.26804970148124	19.2230344915061	21.8793363500483	0.423784428179384	20.9812900793195	21.1941236694737	21.5843997523321	21.8634561863314	22.1556909911484	22.5659138450173	22.9957544543762
CD8T	Macrophage	2	1011	8999	0	-8.3056885166421	15.6910421590952	20.0537237774047	0.525264294413164	18.8211445782298	19.144527723117	19.729614773446	20.0508990708759	20.3968043610703	20.8830371362308	21.3320243099925
Macrophage	Macrophage	1	814	8511	0	-11.7163306116389	16.2791808407193	22.1048842779524	0.497229348533907	21.0130521448085	21.2628327435361	21.769372332946	22.1020601857933	22.4484632506768	22.9052048068123	23.2698019898483
Macrophage	Macrophage	2	1072	8999	0	-8.61017558063981	15.7542804372008	20.0897048846472	0.503523349418645	18.9864723933943	19.3067349091475	19.7392759331822	20.0636606709735	20.4318170202418	20.9628033495097	21.2005735379702
Stroma	Macrophage	1	747	8511	0	-5.44301710864436	18.9641999833931	21.7694277238762	0.515381025723386	20.61656918795	20.9296670110117	21.3974345553617	21.7770463042065	22.1160231945099	22.6238105388445	22.9756931117091
Stroma	Macrophage	2	871	8999	0	-7.00101797685245	15.8592208781166	19.9597922652706	0.585710735311891	18.7064039393834	19.010026556648	19.5342364874518	19.9669729035231	20.3524104593572	20.9300848357385	21.2790486388257
Treg	Macrophage	1	773	8511	0	-4.17883752540033	19.5710951341698	21.7070788183479	0.511143032289468	20.5411033693698	20.8876899266631	21.3729728158492	21.6877276276513	22.0439383147947	22.5829511769687	22.9114210613098
Treg	Macrophage	2	1000	8999	0	-5.75565458760204	16.78991062492	19.9247932987628	0.544661363208882	18.6075777564859	19.0641407777638	19.5597760700004	19.9063196146238	20.3058073280663	20.785570917297	21.2383694845777
Tumor	Macrophage	1	3376	8511	1000	39.8422933895553	25.7838946741652	18.7049800640749	0.177673371883407	18.2988309568437	18.410249542192	18.5806052866674	18.7085440968498	18.8209675569611	19.0006214204638	19.0933629826994
Tumor	Macrophage	2	2939	8999	1000	48.80993841904	26.8543492728844	16.0596676345161	0.221157452519086	15.5867712393601	15.7074601283785	15.916176019253	16.0535421950129	16.2066496540105	16.4245406260132	16.586039754936
Bcell	Stroma	1	588	8511	0	-7.44915495015455	18.4969786133482	23.2489629229984	0.637922602153907	21.7594241598666	22.228251997475	22.8145192175118	23.2442424774768	23.6938766781321	24.3287820501351	24.6805568862979
Bcell	Stroma	2	615	8999	0	-5.22458499653016	16.909720088682	19.9233911136613	0.576824958725093	18.6153892791016	18.9826760694072	19.5415903323565	19.9291059366907	20.3093748715229	20.8741923610543	21.2648429701552
CD4T	Stroma	1	1056	8511	0	-8.36321392141517	19.3200696512755	23.4404782866147	0.492682439317766	22.3438345529137	22.6536275277978	23.1189639985097	23.4306565928008	23.7798593371453	24.2528387338455	24.6799459868426
CD4T	Stroma	2	1491	8999	0	-8.38831337227848	17.1515269270551	20.2480791470779	0.369150755652053	19.3915885273022	19.6467118070166	19.9972142639954	20.2480046305803	20.498854532941	20.8616802289904	21.1436877008045
CD8T	Stroma	1	1157	8511	0	-8.18769868317301	19.5635125692772	23.4434111057584	0.473869238062583	22.3405586551067	22.6457532031405	23.1215153049161	23.4622773660109	23.7553449246606	24.216650649243	24.5781087894448
CD8T	Stroma	2	1011	8999	0	-7.2326972224053	16.7213646683737	20.0974616125308	0.466782562623887	18.9852341356902	19.3484232796001	19.7815073048414	20.0892589970649	20.4195515735056	20.8576092935382	21.1611687658626
Macrophage	Stroma	1	814	8511	186	-0.900916430423621	22.5031795342913	22.9895906075518	0.539906984526575	21.7566150414028	22.1026610533561	22.6214241112275	22.9899786401637	23.3581077197137	23.8597666829861	24.3245043873738
Macrophage	Stroma	2	1072	8999	0	-6.32833074948997	17.2202349896057	20.0761362002777	0.45128823440559	19.1103467605022	19.3223410495334	19.7804755315174	20.0732913603279	20.3661355921727	20.8361996663874	21.1572955933577
Stroma	Stroma	1	747	8511	0	-10.6906958472939	17.1568909731491	23.4510003265074	0.588746461714323	22.1203876673212	22.5463038515018	23.0274705532642	23.4485950467221	23.8567713837582	24.4180393119021	24.7677344309566
Stroma	Stroma	2	871	8999	0	-4.10521856554951	17.8694694132605	19.9439719979971	0.505333041739991	18.8361679524935	19.1465927781371	19.5849752018622	19.9308512897163	20.2857168848563	20.7821119882518	21.1269102323845
Treg	Stroma	1	773	8511	0	-6.94614242630679	19.3637317651861	23.298496107593	0.566467558670401	21.9240118782045	22.3874093985303	22.9154674170294	23.3170577802256	23.665899518299	24.2235209114867	24.5639412674533
