Groups	cell_left	cell_mid	cell_right	N_mid	N_tot	ratio_mean	quant	mean_rand	sd_rand	d_0.01	d_0.05	d_0.25	d_0.5	d_0.75	d_0.95	d_0.99
1	Stroma	Macrophage	Macrophage	814	8511	1.0525276310166	0	1.26145501920374	0.0388279007229128	1.1871686508506	1.20437855800387	1.23630940703248	1.26285679904424	1.28483236988133	1.32677052431986	1.35852123043857
1	Stroma	Stroma	Macrophage	747	8511	1.46135763436774	100	1.26225468884421	0.0464489860613005	1.18009485455485	1.20046997743727	1.23491783032964	1.25392147933346	1.27841614829426	1.35927673655164	1.38930805214107
1	Stroma	Treg	Macrophage	773	8511	1.46032342339543	100	1.2649530742576	0.0433862779901012	1.17427237931587	1.20710739116435	1.23496560214997	1.26240033178655	1.28648898772005	1.34424107534799	1.38426525723732
1	Stroma	Tumor	Macrophage	3376	8511	1.21251843906682	0	1.26504266848743	0.017761638438561	1.23007340495808	1.23309630165635	1.25372551419729	1.2683886542778	1.27790676712261	1.29173597791816	1.29838223228555
1	Stroma	Bcell	Treg	588	8511	1.64167746623205	100	1.44213659652716	0.048017838015626	1.34707858713926	1.36494329572565	1.4065197140981	1.44203995251857	1.47344467917254	1.52339031815371	1.54713746844437
1	Stroma	CD4T	Treg	1056	8511	1.48271308642762	88	1.43999139322081	0.0387870105360787	1.35612062795536	1.38327720346833	1.41588673622401	1.44034750171367	1.46355895202667	1.50146101830434	1.52297539905809
1	Stroma	CD8T	Treg	1157	8511	1.48697499456315	86	1.44160732097344	0.0392884145026688	1.35976930036957	1.37585863972237	1.41607008393739	1.43866396591989	1.46952952916707	1.5069366162387	1.51813252897482
1	Stroma	Macrophage	Treg	814	8511	1.49271992490671	88	1.44707146288027	0.0426969948705157	1.35367435916684	1.37813546350898	1.41711277046115	1.4502423699764	1.4762504386305	1.52158945503734	1.5404170100658
1	Stroma	Stroma	Treg	747	8511	1.7470151799686	100	1.43814142964446	0.0481221631408189	1.33512945627036	1.35923176405546	1.41391016811756	1.43539886226416	1.46543453223765	1.51631559847132	1.54549255875894
1	Stroma	Treg	Treg	773	8511	1.21491712597214	0	1.44641048191153	0.0488660324925136	1.33927712348116	1.36169534271209	1.41590921605848	1.44609090758975	1.47677043242431	1.52463323607961	1.53934272960604
1	Stroma	Tumor	Treg	3376	8511	1.35231732767404	0	1.44569871692867	0.0181061883200609	1.4028008701248	1.41511993409984	1.43407254857691	1.44675217431956	1.46051285011795	1.47424963745897	1.48034229434757
1	Stroma	Bcell	Tumor	588	8511	0.922499834531416	100	0.760700896984596	0.0298432970958931	0.700401549830076	0.712055231660629	0.740162210382909	0.760845670263984	0.779450389272737	0.808184355222937	0.833703484026358
1	Stroma	CD4T	Tumor	1056	8511	0.827478779429458	100	0.759151882216739	0.0212020276984364	0.710735859862671	0.728939689859507	0.745069519068234	0.758701831693468	0.772057767685713	0.791413675817911	0.807508697443137
1	Stroma	CD8T	Tumor	1157	8511	0.889197173913443	100	0.760465534830458	0.0216236945269928	0.716910554137775	0.730860384205934	0.743227086072913	0.75817120001873	0.775264882272098	0.799830461858409	0.808016408147237
1	Stroma	Macrophage	Tumor	814	8511	0.872191465620437	100	0.756551423168598	0.0218668721173129	0.716578556424161	0.723833675143182	0.738961609089072	0.756507166829497	0.771014649353455	0.787829102440625	0.814546145036625
1	Stroma	Stroma	Tumor	747	8511	1.11295720090277	100	0.753974148762853	0.028204583928848	0.70295385306967	0.710599789153043	0.735030104097894	0.753878147708994	0.7707430678911	0.809441440687096	0.826307620336805
1	Stroma	Treg	Tumor	773	8511	0.840630734220061	99	0.755626674607304	0.029247970600312	0.705079795022068	0.711628870186154	0.735640859949419	0.754679350828928	0.771974695849986	0.809461439662262	0.82889791588573
1	Stroma	Tumor	Tumor	3376	8511	0.542316407338921	0	0.759572113894918	0.0100937789168472	0.738422346817429	0.743354921157289	0.752727364011199	0.75854875920086	0.765761296062579	0.775919714814319	0.77999827108655
1	Treg	Bcell	Bcell	588	8511	1.1949315483192	0	1.59705143331655	0.0568014233507508	1.4738613439821	1.5117691865344	1.56511358917222	1.59838240419465	1.6371474032033	1.68675767828178	1.73328064725021
1	Treg	CD4T	Bcell	1056	8511	1.56877163413952	23	1.6023770982145	0.0430148324172783	1.50978308713964	1.53266586240166	1.57046676534621	1.60300119224844	1.62785427666036	1.67028570821583	1.70149767023258
1	Treg	CD8T	Bcell	1157	8511	1.39966640535285	0	1.59633648526647	0.0466714095117013	1.50193960468438	1.53170706036546	1.56633394223587	1.59344854877006	1.62372910783387	1.67776390589048	1.72911190506458
1	Treg	Macrophage	Bcell	814	8511	1.46357311010979	0	1.59128058535418	0.0493898272757775	1.47801447523947	1.51907121696981	1.555451645911	1.59351913541894	1.62223242674602	1.67734398557652	1.68910826579915
1	Treg	Stroma	Bcell	747	8511	1.68171514439253	93	1.60759059237909	0.0578986913777087	1.46759188989219	1.50920471682183	1.57614276558891	1.60576974226602	1.64178844140904	1.696530054225	1.7424780974204
1	Treg	Treg	Bcell	773	8511	1.87728505129171	100	1.60411655196368	0.0554156340436476	1.49699378098549	1.51301831981171	1.56252613452176	1.60413223899239	1.64192926422442	1.68645633799744	1.73080774633968
1	Treg	Tumor	Bcell	3376	8511	1.70074427739617	100	1.60171116942802	0.0236067635565054	1.54237739539933	1.55803240319552	1.58938183392954	1.60158585434437	1.61700193866469	1.63699367439789	1.64632017085237
1	Treg	Bcell	CD4T	588	8511	1.38320126824333	100	1.09286475369288	0.0546102336961668	0.98102003462525	1.01463449944463	1.05964986126886	1.08649062938416	1.11751961030207	1.19574831439115	1.23977447270633
1	Treg	CD4T	CD4T	1056	8511	0.977155777895574	0	1.08685580534714	0.0319444656592228	1.03210181663845	1.04074906731196	1.06175416788533	1.08473334533291	1.10377135229071	1.13797789597048	1.16712857730729
1	Treg	CD8T	CD4T	1157	8511	0.927490576255657	0	1.09106156554543	0.0294386206885853	1.03144104695608	1.0491866256184	1.07049234495622	1.09196960263714	1.10768801119945	1.14141870372142	1.17005400939175
1	Treg	Macrophage	CD4T	814	8511	1.12944816810528	86	1.09383293602048	0.0364956808885632	1.02662443487754	1.04112890296464	1.06915551671837	1.08809444536492	1.11805044054636	1.1524448121591	1.20810713584884
1	Treg	Stroma	CD4T	747	8511	1.17370226455544	96	1.09486683166663	0.040720647140485	1.02056634398568	1.03768105084866	1.06810823389441	1.085289974054	1.12251022790183	1.16554940758158	1.19610763669258
1	Treg	Treg	CD4T	773	8511	1.44482566797663	100	1.09433773069812	0.048504725563217	1.01382836575115	1.02420978660898	1.05924336164039	1.08368118344737	1.1256136221693	1.1797155100241	1.22317121781488
1	Treg	Tumor	CD4T	3376	8511	1.01297484324498	0	1.08642548530308	0.0157712656687525	1.0468900234332	1.06270326739854	1.07652702916207	1.08530740163977	1.09457885444414	1.11531441135473	1.12016455922453
1	Treg	Bcell	CD8T	588	8511	1.2951700407951	100	1.1392742276881	0.0488563737240708	1.04288228736392	1.06959957502932	1.11018672197099	1.13825798451531	1.17295682464297	1.22013235071026	1.25837153418818
1	Treg	CD4T	CD8T	1056	8511	1.01964085502085	0	1.14624342949242	0.0350586378315591	1.06447450744392	1.08934873472714	1.12304931149686	1.14460920000808	1.16989566277301	1.20550367496615	1.22014626205396
1	Treg	CD8T	CD8T	1157	8511	0.925468538218307	0	1.14088316981801	0.0350580714901738	1.06950944177953	1.08931283547808	1.11428979051065	1.1377015860123	1.16548782608095	1.19691634299583	1.21402648764373
1	Treg	Macrophage	CD8T	814	8511	1.345035388161	100	1.13521907406126	0.0432299387224932	1.06021383713416	1.0670625830411	1.10736000690493	1.13140408196756	1.16151805350972	1.21391314063654	1.23063576994994
1	Treg	Stroma	CD8T	747	8511	1.16449544429114	71	1.1422852703374	0.046316867495091	1.06228162252695	1.0700029652	1.1132490599249	1.14110081249583	1.16870693719728	1.22515693090953	1.24749735346681
1	Treg	Treg	CD8T	773	8511	1.71849695240287	100	1.13937700216926	0.0434203928751165	1.048195817932	1.06639302674899	1.10653056339488	1.13941822101622	1.16797326682229	1.21484557540377	1.23359281013956
1	Treg	Tumor	CD8T	3376	8511	1.03774528258677	0	1.13707643942032	0.0152056755190835	1.10304047992767	1.11300835335483	1.12845422453151	1.13599342753618	1.14851291339918	1.16252425826962	1.16880850162983
1	Treg	Bcell	Macrophage	588	8511	1.30167458125688	72	1.27745527333669	0.0453152244961402	1.17728346589282	1.1994596424114	1.25202327989767	1.27776369118296	1.30461408175231	1.34404533298743	1.39567172898054
1	Treg	CD4T	Macrophage	1056	8511	1.24036852395269	18	1.2766519370281	0.0435126490998639	1.19050071409738	1.21230708670863	1.25086564144548	1.27231225601309	1.30011453807851	1.3584773661838	1.38393031238949
1	Treg	CD8T	Macrophage	1157	8511	1.20968758367286	1	1.28088683252559	0.0326272822142444	1.21718100418919	1.23610351085951	1.26072334006132	1.27397045255716	1.30007417999417	1.33560121968224	1.36275839883233
1	Treg	Macrophage	Macrophage	814	8511	1.02273455999028	0	1.28678734629125	0.0431169439722946	1.1884584520621	1.22498042277146	1.25707436600013	1.28275554865072	1.31676858755723	1.37032704837149	1.38374729765848
1	Treg	Stroma	Macrophage	747	8511	1.39285144801722	98	1.28542147654567	0.0470078351477975	1.20837641061129	1.21670337610463	1.25466940169836	1.28022213840316	1.31536110021087	1.36468748416674	1.42397034755905
1	Treg	Treg	Macrophage	773	8511	1.58830931132354	100	1.27694202383478	0.0428019788571939	1.18442333332135	1.20732448262834	1.24988285617876	1.27740014651191	1.29971488184421	1.35921609256105	1.38545291863435
1	Treg	Tumor	Macrophage	3376	8511	1.28756776068768	58	1.28495260101441	0.019816738259983	1.23767079031806	1.25269118255632	1.27134948160444	1.28224290377175	1.3007835754956	1.31376821858725	1.3293124991015
1	Treg	Bcell	Stroma	588	8511	1.20517159390165	1	1.29668726851954	0.0493007711407927	1.20618089809643	1.22937491163591	1.26113552464212	1.29278918252936	1.31864713021163	1.38007485940728	1.44809094636027
1	Treg	CD4T	Stroma	1056	8511	1.23687535458417	5	1.29630590973561	0.0327924120444155	1.22734730110794	1.23979616891326	1.27479110113235	1.29609564515311	1.3162656664271	1.3517506912313	1.36315894523305
1	Treg	CD8T	Stroma	1157	8511	1.25234138408925	8	1.29547439077986	0.0354741825257656	1.21648014364769	1.24125942451676	1.27364505226834	1.2909137436418	1.31766333001187	1.35743604201281	1.37793507573328
1	Treg	Macrophage	Stroma	814	8511	1.33776027711244	82	1.30011977964503	0.0447410992511033	1.21587273184522	1.23968345583722	1.26759967006867	1.2957987510653	1.32868340659701	1.39110616458058	1.40466631925176
1	Treg	Stroma	Stroma	747	8511	1.21203649772578	0	1.29060556319868	0.0381666726198797	1.21594706772563	1.2362499484257	1.26455048661568	1.28725822361044	1.31395068036251	1.35343106548641	1.3910181815586
1	Treg	Treg	Stroma	773	8511	1.57042704389083	100	1.29520365587476	0.0466497433045781	1.2089157102181	1.22512302984219	1.26459924712448	1.29431828523017	1.32822582056405	1.36998386739467	1.41706709205165
1	Treg	Tumor	Stroma	3376	8511	1.28924093070189	35	1.29616853872625	0.0161681196342487	1.26385834882874	1.27114612370834	1.28257270541179	1.29784024910071	1.30728180195764	1.32428840509979	1.32964990951956
1	Treg	Bcell	Tumor	588	8511	0.827296858382753	100	0.711814102199952	0.0263528047288048	0.660620689535833	0.675245450716834	0.692350770460912	0.710997125099096	0.724363805391078	0.763762608263046	0.773296531130699
1	Treg	CD4T	Tumor	1056	8511	0.760723309372277	99	0.718129223781404	0.0171387572133973	0.68960240319327	0.692639392186776	0.705735443823294	0.715632995176768	0.730088780605123	0.745683398505128	0.760068524740286
1	Treg	CD8T	Tumor	1157	8511	0.757956553847424	97	0.716679224436787	0.0198231742633946	0.676192058361251	0.683610881042721	0.703163835840268	0.716177148498641	0.728422274972014	0.750866140507964	0.760502376594526
1	Treg	Macrophage	Tumor	814	8511	0.818713753213231	100	0.71839107765602	0.0259163794416827	0.669777752143593	0.681440884341952	0.699053531360782	0.715583628127846	0.73769153723761	0.76267743893841	0.78290442763876
1	Treg	Stroma	Tumor	747	8511	0.85993734742527	100	0.715122129952364	0.0235046098527653	0.668814809810705	0.682423337587847	0.698381954872422	0.713850471649874	0.73280608913968	0.748775455849007	0.777374124765624
1	Treg	Treg	Tumor	773	8511	0.988776511501364	100	0.716566977155874	0.0238385569988255	0.675108342232393	0.681930517297473	0.70021761520531	0.714236827518582	0.728974448239394	0.761454352477377	0.771804853509777
1	Treg	Tumor	Tumor	3376	8511	0.547324745463897	0	0.715176690912673	0.00968280146766987	0.694734021657014	0.699993545170341	0.707585666109531	0.715231608445643	0.721963364966561	0.731234451062126	0.738417190486079
1	Tumor	Bcell	Bcell	588	8511	1.96322227531211	0	3.29725223511746	0.147600123787935	2.98791192110004	3.08944834157692	3.20423138738926	3.28799843016126	3.38984030291139	3.54652453170434	3.68847256236862
1	Tumor	CD4T	Bcell	1056	8511	2.53653067418926	0	3.27086967399676	0.11640062878092	2.99850758543174	3.08443485565235	3.19835149442849	3.27318426258972	3.34669401116651	3.44554632523713	3.50212831647442
1	Tumor	CD8T	Bcell	1157	8511	2.17120017869505	0	3.27276508128161	0.0925264137611929	3.07144750702364	3.10010822200757	3.21653205913447	3.26366689955072	3.34980277323002	3.41925790297215	3.46439718304845
1	Tumor	Macrophage	Bcell	814	8511	2.31423156419949	0	3.27297153698792	0.124237467953709	2.98509643328441	3.07977495893158	3.18460421280008	3.28693722289493	3.35412231637849	3.47980180542598	3.52239061538118
1	Tumor	Stroma	Bcell	747	8511	2.25249698970957	0	3.2806812145289	0.134932175748388	2.99145307507178	3.04863201596279	3.18805481738113	3.28724435623944	3.38220092699762	3.48706223996196	3.53038454291006
1	Tumor	Treg	Bcell	773	8511	2.44794116951334	0	3.29924558790416	0.130574256917887	3.07242066135067	3.10950293818148	3.17526917151542	3.29536924456814	3.37665288095993	3.52905945287156	3.61032700192836
1	Tumor	Tumor	Bcell	3376	8511	4.76456879117753	100	3.26584818896345	0.0460632182860973	3.17885991423952	3.18951716678613	3.23407484522142	3.26061139658807	3.29993874016236	3.33876763494311	3.36270900151173
1	Tumor	Bcell	CD4T	588	8511	1.83696355561807	0	2.10187211835158	0.0765527049821942	1.94492299442772	1.97151535725817	2.04456953917291	2.10227846977896	2.15646464110186	2.21887549341041	2.24407298495525
1	Tumor	CD4T	CD4T	1056	8511	1.60527672039666	0	2.10884797759016	0.0531734650522754	1.97330556334709	2.03936035609173	2.06874806230488	2.1126815932919	2.14366328664205	2.20054655680444	2.24952768232277
1	Tumor	CD8T	CD4T	1157	8511	1.48183079142494	0	2.10090985019742	0.052764216797185	1.98731067430346	2.02928268634122	2.0686810749621	2.09978054088088	2.12888632611282	2.18072291606061	2.23953214850193
1	Tumor	Macrophage	CD4T	814	8511	1.59894857227196	0	2.11360562517727	0.058706075481768	1.96953245058967	2.02353098028076	2.08057437264914	2.11060953210174	2.14674019190745	2.20418980353305	2.24644180362694
1	Tumor	Stroma	CD4T	747	8511	1.57124310899746	0	2.10520646755674	0.0701344700254672	1.95511183706832	2.00861588902052	2.06228722699484	2.09944240246084	2.1475878343572	2.2163390284568	2.27745344189207
1	Tumor	Treg	CD4T	773	8511	1.63495453605522	0	2.10438348744174	0.0656285687327984	1.95556198560758	1.98347431555558	2.0613419706318	2.11603097116219	2.1556476435352	2.19162701303863	2.22309411904406
1	Tumor	Tumor	CD4T	3376	8511	2.87490850852308	100	2.10744231173349	0.0239695018302555	2.05891819557718	2.06936015013061	2.09091725204527	2.10790189798173	2.12331324616154	2.14936069002035	2.15661391638946
1	Tumor	Bcell	CD8T	588	8511	1.6732285519108	0	2.1024285598281	0.0707111992510179	1.90001200776182	1.99471389974056	2.05920773762194	2.09856045851761	2.14105702861869	2.21916837861904	2.26593559717493
1	Tumor	CD4T	CD8T	1056	8511	1.60469909459894	0	2.122041458806	0.0499170753070561	2.0171122809575	2.05093973759225	2.09102699823046	2.12336211298658	2.15113725509595	2.19764995013712	2.25246755385203
1	Tumor	CD8T	CD8T	1157	8511	1.44379273738351	0	2.12499542617058	0.0510753441939521	2.02352782604028	2.03770197404891	2.09207215087754	2.12767789392875	2.16441456906712	2.19635361778632	2.24315287770309
1	Tumor	Macrophage	CD8T	814	8511	1.87798134421561	0	2.10479013781585	0.0629234890997334	1.97401009625937	2.00429364815221	2.06399071830984	2.09859106479462	2.15163863552512	2.19897367110424	2.24588906569049
1	Tumor	Stroma	CD8T	747	8511	1.60417781241678	0	2.11203783669285	0.0705551895653407	1.92693330205895	2.00288049439058	2.06116529407246	2.11362384133289	2.15984441138532	2.21974483287662	2.26164088142822
1	Tumor	Treg	CD8T	773	8511	1.82705203102912	0	2.10649217049333	0.0614030437013724	1.97758040755669	2.00226295758726	2.06167162833929	2.10970884754746	2.15055569228885	2.20797204096966	2.23305999260694
1	Tumor	Tumor	CD8T	3376	8511	2.81991747733457	100	2.11528179189312	0.02470964225677	2.07009078029728	2.07879848293745	2.09773625796772	2.11237018687438	2.1319221563722	2.1533778448284	2.17487818029857
1	Tumor	Bcell	Macrophage	588	8511	1.88163520149419	0	2.44420363520089	0.0958001415365304	2.27921373400737	2.29600749882782	2.37553433172373	2.44889320204642	2.50385016581855	2.61307847926577	2.65569773733021
1	Tumor	CD4T	Macrophage	1056	8511	1.97595252158016	0	2.43897065073994	0.0602017118216899	2.32082759122164	2.34789871135869	2.3950574761285	2.43931811078503	2.48246802439548	2.54512960112317	2.57945669014779
1	Tumor	CD8T	Macrophage	1157	8511	1.89067841156686	0	2.43814811566716	0.0595388086466443	2.31147133550604	2.355838111754	2.39875137180595	2.43210752900326	2.4730165452463	2.54122924389882	2.57931579132652
1	Tumor	Macrophage	Macrophage	814	8511	1.57167157264361	0	2.43736898568115	0.0802390164735288	2.26152734342601	2.31620912424901	2.38984599820159	2.43970911486071	2.47928969497754	2.53694140240958	2.6443986932093
1	Tumor	Stroma	Macrophage	747	8511	1.80091804678372	0	2.43888585419074	0.0805395431090903	2.27810023662932	2.3129826478438	2.38790397813472	2.43073866907197	2.48907364775797	2.58365457585639	2.59600622899032
1	Tumor	Treg	Macrophage	773	8511	1.99254097230166	0	2.437190514794	0.0729810028549474	2.26831057784741	2.31132027210494	2.39283220235515	2.43684159708392	2.48623390531763	2.54878057423729	2.59750896365892
1	Tumor	Tumor	Macrophage	3376	8511	3.31743122818762	100	2.43578220585247	0.0281976154201413	2.36118561551193	2.38684133668386	2.41652125423331	2.436537639835	2.45424821515643	2.47849567039413	2.49401153156431
1	Tumor	Bcell	Stroma	588	8511	1.78281979256894	0	2.61716396350894	0.100225637624194	2.40456952687629	2.45615897768009	2.55402341355207	2.61794021669898	2.68167763127856	2.79038519557263	2.83578572602008
1	Tumor	CD4T	Stroma	1056	8511	1.98787827308904	0	2.60791160106045	0.0714521962003024	2.46710990786067	2.49628729059749	2.55366829378602	2.61113615997684	2.66283611783377	2.70872356778272	2.73982106470928
1	Tumor	CD8T	Stroma	1157	8511	1.97222788173342	0	2.60876879097835	0.0635392829325357	2.47086381084814	2.51293766254122	2.56729998382285	2.59760647662875	2.65508493705374	2.72364762885677	2.7561161357595
1	Tumor	Macrophage	Stroma	814	8511	2.05602222320143	0	2.61287908041779	0.0786623891109431	2.41003731129658	2.46789758038326	2.56557059358095	2.61603117267308	2.67057217228497	2.72696219373285	2.73796546844613
1	Tumor	Stroma	Stroma	747	8511	1.65188183856501	0	2.61933008817444	0.0892833588545258	2.42997557916857	2.45062620882523	2.57051949428413	2.61724077437788	2.66867876660789	2.77510628418935	2.8351094332732
1	Tumor	Treg	Stroma	773	8511	1.93490444253397	0	2.60037280632529	0.0797307173801646	2.44031703965597	2.48388154367549	2.54738202854619	2.5984564133262	2.65423213938344	2.74106054921952	2.79555725149103
1	Tumor	Tumor	Stroma	3376	8511	3.66730242683421	100	2.61237984186692	0.0313615051530235	2.54959472558045	2.5695305224342	2.5876353413888	2.6091905153019	2.63581723373459	2.66151624932209	2.68472673394653
1	Tumor	Bcell	Treg	588	8511	2.1512119778453	0	2.8341241751104	0.120842156012163	2.53188278841056	2.60901163948145	2.75415440397257	2.84867271417362	2.90447835361269	3.02285865572506	3.07863697522351
1	Tumor	CD4T	Treg	1056	8511	2.19732775235485	0	2.82311511812216	0.0856300138109763	2.64097814192791	2.68586063195158	2.76484221575788	2.82751729430289	2.88658416732007	2.94735747914121	3.00854148905754
1	Tumor	CD8T	Treg	1157	8511	2.10795939193114	0	2.83695312051191	0.0790628251713836	2.69290009855935	2.72009700494594	2.77435474184961	2.83640030065965	2.89009256087085	2.96873477286717	2.97920516335799
1	Tumor	Macrophage	Treg	814	8511	2.10620118309442	0	2.83097243092619	0.112405306605709	2.59350346590077	2.66953237253977	2.75763566699687	2.81461941141657	2.90865599706862	3.03587806445135	3.09113079877023
1	Tumor	Stroma	Treg	747	8511	2.05560494931383	0	2.82282672045165	0.108721552337173	2.61509892290419	2.65589608676647	2.74763617991691	2.82911795773967	2.89073474662163	3.02000274198351	3.0890596637006
1	Tumor	Treg	Treg	773	8511	1.69622656104803	0	2.81732969717583	0.100087830258525	2.58316395856586	2.64876893236214	2.75547369763531	2.81280500359338	2.88877674209099	2.97490857074041	2.99637122590637
1	Tumor	Tumor	Treg	3376	8511	3.99546650801546	100	2.8232999440938	0.0404045315974829	2.73951959583472	2.75871920554503	2.79128729896521	2.8253548945796	2.84876727561207	2.89211937904488	2.90387588594044
2	Bcell	Bcell	CD4T	615	8999	0.907591144350945	30	0.920662291782312	0.0255730300367849	0.868668997083611	0.880997755870019	0.905666964739736	0.920470057126903	0.938824654462258	0.963447470968437	0.980287670536248
2	Bcell	CD4T	CD4T	1491	8999	0.832538509201704	0	0.919315843780842	0.0170348929410807	0.888609716884582	0.890455097237495	0.907392527782074	0.918867407599759	0.931959933140903	0.944407515166854	0.955111769145329
2	Bcell	CD8T	CD4T	1011	8999	0.929012900240871	76	0.917030857036169	0.0190856946180842	0.866126171637178	0.886678933033202	0.906889871776792	0.916879384543435	0.926637562630302	0.946683424231612	0.959525837621688
2	Bcell	Macrophage	CD4T	1072	8999	0.892161908542808	9	0.918267878274055	0.0204670378787987	0.874516180947288	0.885564753969684	0.906301325398906	0.917548190971486	0.928772342234305	0.952626305380051	0.966214646925525
2	Bcell	Stroma	CD4T	871	8999	0.888807334168144	10	0.918632621908291	0.0218196192074263	0.870889305128529	0.881122385566597	0.904825527003432	0.91712508790199	0.93137736558723	0.953521440763933	0.966540402547329
2	Bcell	Treg	CD4T	1000	8999	0.858259376518083	0	0.918541595686638	0.0215589066436038	0.866364441733599	0.881501936337579	0.904318897786434	0.920044942141219	0.932953674986571	0.952120611995074	0.962828760296357
2	Bcell	Tumor	CD4T	2939	8999	1.00003741772972	100	0.919749378271172	0.010689221444157	0.89500494868811	0.902246946512531	0.913290157977331	0.920074992950317	0.927904049411627	0.934752326164051	0.941191907807361
2	Bcell	Bcell	CD8T	615	8999	1.00361958564079	9	1.04581100654556	0.0322032507630274	0.972921199232506	0.989723900917027	1.02171102724421	1.04952808366641	1.06790359845624	1.09207289554427	1.10692262638095
2	Bcell	CD4T	CD8T	1491	8999	0.994039937866447	1	1.04018994627917	0.0197138783927498	1.00174513904291	1.00484576075465	1.02520356984802	1.04187155444931	1.05348167674385	1.07068444261584	1.08515962714909
2	Bcell	CD8T	CD8T	1011	8999	1.0298384030731	24	1.04599139940618	0.0233984079390129	1.00137937133622	1.01315611171564	1.03018302930764	1.04325222017487	1.06169675631063	1.08686803747378	1.10384302490952
2	Bcell	Macrophage	CD8T	1072	8999	1.01563970575962	7	1.04318432572316	0.0221428994597123	0.988744091801205	1.00992734517082	1.02965021022158	1.04165662461796	1.0580352032665	1.08002338323728	1.09003847479605
2	Bcell	Stroma	CD8T	871	8999	1.04262717839507	55	1.04131815224825	0.0261153738053945	0.98778389250689	1.00241388160761	1.02235249000979	1.04055853522033	1.05701523591316	1.0827500217559	1.10013020804467
2	Bcell	Treg	CD8T	1000	8999	1.01049390865909	10	1.04327205960786	0.0254478055671464	0.985705542084951	1.00363600030142	1.02766917520072	1.03914480351542	1.05761082949845	1.08547182095957	1.10876760940068
2	Bcell	Tumor	CD8T	2939	8999	1.10666337332331	100	1.04643703153918	0.012510845482225	1.02474002971713	1.02712056741228	1.03734083909165	1.04650458772547	1.0550875744148	1.0681280433523	1.07591900919336
